date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:48	137601/137601	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2018:06:48%20GMT	https://www.giuligartner.com/about	D:/ferrenzo2%20-%20Copy/ferrenzotest2/www.giuligartner.com/about.html	(from )
18:06:49	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2004%20Mar%202023%2018:06:49%20GMT	https://www.giuligartner.com/robots.txt		(from )
18:06:49	125114/125114	---M-Z	200	added ('OK')	text/css	etag:%221f5068b9c2a7a15983ea5e92d80b33ba%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/css/giuligartner.webflow.601e8c8b8.min.css	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/css/giuligartner.webflow.601e8c8b8.min.css	(from https://www.giuligartner.com/about)
18:06:49	15005/15005	---M-Z	200	added ('OK')	application/javascript	etag:W/%223a9d-Jrr5j8UmaL9VPZw7V3JahfbsQ6c%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-copyclip@1/copyclip.js	D:/ferrenzo2%20-%20Copy/ferrenzotest2/cdn.jsdelivr.net/npm/@finsweet/attributes-copyclip@1/copyclip.js	(from https://www.giuligartner.com/about)
18:06:49	3568/3568	---M-Z	200	added ('OK')	application/javascript	etag:W/%22df0-0nPGN91ELcwyv6XXWA4fHCcO9wQ%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-autovideo@1/autovideo.js	D:/ferrenzo2%20-%20Copy/ferrenzotest2/cdn.jsdelivr.net/npm/@finsweet/attributes-autovideo@1/autovideo.js	(from https://www.giuligartner.com/about)
18:06:49	49925/49925	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2018:06:50%20GMT	https://www.giuligartner.com/stills	D:/ferrenzo2%20-%20Copy/ferrenzotest2/www.giuligartner.com/stills.html	(from https://www.giuligartner.com/about)
18:06:50	43669/43669	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2018:06:50%20GMT	https://www.giuligartner.com/motion	D:/ferrenzo2%20-%20Copy/ferrenzotest2/www.giuligartner.com/motion.html	(from https://www.giuligartner.com/about)
18:06:50	48395/48395	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Mar%202023%2018:06:50%20GMT	https://www.giuligartner.com/	D:/ferrenzo2%20-%20Copy/ferrenzotest2/www.giuligartner.com/index.html	(from https://www.giuligartner.com/about)
18:06:50	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2004%20Mar%202023%2018:06:50%20GMT	https://www.giuligartner.com/%22https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/6139d03190e20858dec6d960_Video%20Portrait%20BW-poster-00001.jpg%22	D:/ferrenzo2%20-%20Copy/ferrenzotest2/www.giuligartner.com/_https_/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/6139d03190e20858dec6d960_Video%20Portrait%20BW-poster-00001.6.delayed	(from https://www.giuligartner.com/about)
18:06:50	91160/91160	---M--	200	added ('OK')	image/jpeg	etag:%22880ad46436495ffe6e4056c2321815c7%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a452675ad591cfd1a8_photo-creative-6.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a452675ad591cfd1a8_photo-creative-6.jpg	(from https://www.giuligartner.com/about)
18:06:51	595900/595900	---M--	200	added ('OK')	image/jpeg	etag:%228b3c32ede33416d2218326224610a710%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/635e509877408d75da804c25_Parker%20Scmidt-205.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/635e509877408d75da804c25_Parker%20Scmidt-205.jpg	(from https://www.giuligartner.com/about)
18:06:51	100412/100412	---M--	200	added ('OK')	image/jpeg	etag:%226aa83ba20e850206184b242fdebd2412%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a498d63ab45b056cb8_photo-creative-3.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a498d63ab45b056cb8_photo-creative-3.jpg	(from https://www.giuligartner.com/about)
18:06:51	358376/358376	---M--	200	added ('OK')	image/jpeg	etag:%22ec8618e640009a6218c26b83ce6fcc15%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/635e4f897080454b764d417c_AG_CORNWALL_DEC2021_10.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/635e4f897080454b764d417c_AG_CORNWALL_DEC2021_10.jpg	(from https://www.giuligartner.com/about)
18:06:52	80073/80073	---M--	200	added ('OK')	image/jpeg	etag:%22eb8f702d2f0ac7a5e0114618b9185a2f%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a3627fccd34acd48ef_photo-creative-2.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a3627fccd34acd48ef_photo-creative-2.jpg	(from https://www.giuligartner.com/about)
18:06:52	462569/462569	---M--	200	added ('OK')	image/jpeg	etag:%22d0d27d70eb80621f7c61d0720fef5787%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/635e4fddb16556675ceb906f_97660031.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/635e4fddb16556675ceb906f_97660031.jpg	(from https://www.giuligartner.com/about)
18:06:52	93274/93274	---M--	200	added ('OK')	image/jpeg	etag:%22bf16a3e132ce5eb7868c83c2478fd985%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a45b40c6821923f5cd_photo-creative-7.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a45b40c6821923f5cd_photo-creative-7.jpg	(from https://www.giuligartner.com/about)
18:06:52	49670/49670	---M--	200	added ('OK')	image/jpeg	etag:%225425d40257069d843d7d0369a08ae51e%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a3d5cc93956ba3a8e0_photo-creative-1.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a3d5cc93956ba3a8e0_photo-creative-1.jpg	(from https://www.giuligartner.com/about)
18:06:53	29312/29312	---M--	200	added ('OK')	image/jpeg	etag:%22d538e89384fc98a111d2bc6c13e91975%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a3de0d47fc1aa15e38_photo-creative-5.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a3de0d47fc1aa15e38_photo-creative-5.jpg	(from https://www.giuligartner.com/about)
18:06:53	147382/147382	---M--	200	added ('OK')	image/jpeg	etag:%228a17fce3ea747fb78d78514751c7c5db%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/63769165d4de2442394ed214_giulia-cold.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/63769165d4de2442394ed214_giulia-cold.jpg	(from https://www.giuligartner.com/about)
18:06:53	107111/107111	---M--	200	added ('OK')	image/jpeg	etag:%224e7cafb84850479c9a1c5f541b81be91%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a33d99edf26f104aab_photo-creative-4.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/61f7f6a33d99edf26f104aab_photo-creative-4.jpg	(from https://www.giuligartner.com/about)
18:06:53	125172/125172	---M--	200	added ('OK')	image/jpeg	etag:%22156ac5f18aaca61bf88f8c10c3f0aa3e%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/63769165c83b013d52239a63_giulia-warm.jpg	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/63769165c83b013d52239a63_giulia-warm.jpg	(from https://www.giuligartner.com/about)
18:06:54	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=60db5e59f76ae577e9f50d42	D:/ferrenzo2%20-%20Copy/ferrenzotest2/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c86b8d.js	(from https://www.giuligartner.com/about)
18:06:54	618492/618492	---M-Z	200	added ('OK')	text/javascript	etag:%22484efe3faca9843b6308a324a240c86d%22	https://uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/js/webflow.4c8d63443.js	D:/ferrenzo2%20-%20Copy/ferrenzotest2/uploads-ssl.webflow.com/60db5e59f76ae577e9f50d42/js/webflow.4c8d63443.js	(from https://www.giuligartner.com/about)
18:06:54	13321/13321	---M-Z	200	added ('OK')	application/javascript	etag:W/%223409-w9Y03eyVWdhcmN83QS4sGpke7HE%22	https://cdn.jsdelivr.net/gh/studio-freight/lenis@0.2.28/bundled/lenis.js	D:/ferrenzo2%20-%20Copy/ferrenzotest2/cdn.jsdelivr.net/gh/studio-freight/lenis@0.2.28/bundled/lenis.js	(from https://www.giuligartner.com/about)
18:06:55	71017/71017	---M-Z	200	added ('OK')	application/javascript	etag:%22633c8b2b-6c91%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.3/gsap.min.js	D:/ferrenzo2%20-%20Copy/ferrenzotest2/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.3/gsap.min.js	(from https://www.giuligartner.com/about)
18:06:55	40115/40115	---M-Z	200	added ('OK')	application/javascript	etag:%22633c8b2b-407b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.3/ScrollTrigger.min.js	D:/ferrenzo2%20-%20Copy/ferrenzotest2/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.3/ScrollTrigger.min.js	(from https://www.giuligartner.com/about)
